date,close,volume,change
2023-01-31,98502,7957,0.020927704131558277
2023-02-01,97628,2365,-0.00891251501919107
2023-02-02,96657,6068,-0.009995708209168426
2023-02-03,96462,2857,-0.002019480903198789
2023-02-06,96462,5869,0.0
2023-02-07,95977,1841,-0.005040568979046672
2023-02-08,95977,2002,0.0
2023-02-09,95782,4142,-0.0020338035473255263
2023-02-10,95685,3436,-0.0010132295204774164
2023-02-13,95005,2756,-0.007132024567533067
2023-02-14,95200,2156,0.0020504200028243105
2023-02-15,95588,2051,0.0040673473688109625
2023-02-16,95685,2408,0.0010142571958976178
2023-02-17,95685,1916,0.0
2023-02-20,95782,1443,0.0010132295204773334
2023-02-21,95394,2871,-0.004059092487878684
2023-02-22,95782,4977,0.004059092487878784
2023-02-23,95005,1501,-0.008145254088010482
2023-02-24,94520,3057,-0.005118069475788161
2023-02-27,94228,2308,-0.0030940749883470926
2023-02-28,93257,3608,-0.010358254599694472
2023-03-02,92771,3564,-0.005225031776810616
2023-03-03,92674,3241,-0.0010461323718228093
2023-03-06,92188,4507,-0.005257988333787943
2023-03-07,91217,6932,-0.010588687030161881
2023-03-08,91508,4752,0.0031851169354547688
2023-03-09,91702,4364,0.00211778912186001
2023-03-10,91217,4373,-0.0053029060573147385
2023-03-13,90051,2920,-0.012865106716077542
2023-03-14,89371,3826,-0.007579931734134123
2023-03-15,87622,4175,-0.01976413680377413
2023-03-16,85097,10833,-0.029240325650105363
2023-03-17,84514,4707,-0.006874581200984031
2023-03-20,85680,7086,0.013702225026486192
2023-03-21,86554,6206,0.010149070474876572
2023-03-22,85194,11247,-0.01583748779409436
2023-03-23,87040,9495,0.021436774287356894
2023-03-24,85194,10496,-0.0214367742873569
2023-03-27,82862,7873,-0.027754435363594208
2023-03-28,83348,10901,0.005848040251272266
2023-03-29,82765,7250,-0.0070193469958249495
2023-03-30,82571,3782,-0.0023467374199530044
2023-03-31,82377,4606,-0.0023522575533141132
2023-04-03,82377,2813,0.0
2023-04-04,82571,8180,0.0023522575533140356
2023-04-05,83251,10397,0.00820161150824574
2023-04-06,81794,10667,-0.017656249515187957
2023-04-07,81794,5933,0.0
2023-04-10,80822,12540,-0.011954685591178526
2023-04-11,81891,10300,0.013139889016718077
2023-04-12,82960,12588,0.012969469210498866
2023-04-13,85485,12423,0.029982358033800678
2023-04-14,84708,9270,-0.009130873753737159
2023-04-17,84222,6832,-0.005753878421091529
2023-04-18,84125,10419,-0.001152381815352091
2023-04-19,84125,5884,0.0
2023-04-20,82280,8666,-0.022175723180135467
2023-04-21,81405,8068,-0.010691368601278527
2023-04-24,80531,8355,-0.010794492720601642
2023-04-25,81114,6579,0.0072133691474471524
2023-04-26,80531,4191,-0.007213369147447165
2023-04-27,79851,5806,-0.008479805398744987
2023-04-28,80337,4764,0.006067888870324163
2023-05-02,80822,4152,0.00601891875959992
2023-05-03,79365,8278,-0.0181917406698504
2023-05-04,80240,7100,0.010964678629475295
2023-05-08,80531,9993,0.003620059809195972
2023-05-09,81405,5556,0.010794492720601599
2023-05-10,81502,6606,0.001190863639541997
2023-05-11,82085,4560,0.007127735923461776
2023-05-12,82085,4426,0.0
2023-05-15,81308,6843,-0.009510883049766081
2023-05-16,81211,3588,-0.0011937067237458537
2023-05-17,80337,12244,-0.010820419038514372
2023-05-18,80725,3449,0.004818029709883733
2023-05-19,81697,6820,0.011968964841191128
2023-05-22,83057,8775,0.016509837596213127
2023-05-23,84514,9818,0.01739008203126414
2023-05-24,84417,8374,-0.0011483979927952102
2023-05-25,83737,6337,-0.008087868344106415
2023-05-26,83251,4566,-0.005820793975683823
2023-05-30,83154,4084,-0.0011658304857011532
2023-05-31,81114,12679,-0.024838737704397148
2023-06-01,87914,30311,0.08050349129827175
2023-06-02,87137,7742,-0.008877471170208193
2023-06-05,86845,4708,-0.003356672232410982
2023-06-07,88497,4036,0.018843732628262562
2023-06-08,90148,6958,0.018484111022180713
2023-06-09,90537,4775,0.004305842776256626
2023-06-12,89857,7390,-0.007539089113931468
2023-06-13,89954,7046,0.0010789107386021282
2023-06-14,88302,7329,-0.018535671147315462
2023-06-15,88302,7833,0.0
2023-06-16,89565,4124,0.014201861257034586
2023-06-19,87817,2980,-0.019709514900407538
2023-06-20,87622,6884,-0.002222995802561415
2023-06-21,85097,5746,-0.029240325650105363
2023-06-22,85971,3090,0.010218247769349742
2023-06-23,83348,4715,-0.03098541637538697
2023-06-26,83251,5806,-0.0011644729075321349
2023-06-27,83154,2260,-0.0011658304857011532
2023-06-28,83348,3559,0.0023303033932332642
2023-06-29,82765,4051,-0.0070193469958249495
2023-06-30,82474,3159,-0.003522174557319958
2023-07-03,81308,8817,-0.014238679458093356
2023-07-04,80725,8471,-0.0071960960523766
2023-07-05,80725,7467,0.0
2023-07-06,77617,15329,-0.03926184128302004
2023-07-07,76742,9604,-0.011337328854495532
2023-07-10,75965,3652,-0.010176438611093548
2023-07-11,75965,6877,0.0
2023-07-12,77228,7320,0.016489377677840544
2023-07-13,79171,7535,0.024847984577114943
2023-07-14,80822,9184,0.020639135543370036
2023-07-17,78685,7784,-0.02679666564122741
2023-07-18,78685,5619,0.0
2023-07-19,79948,10476,0.015923883279467546
2023-07-20,82668,12581,0.033456163066763814
2023-07-21,82668,8064,0.0
2023-07-24,79851,6684,-0.03467018833492795
